journal_name	abbr_name	issn	eissn	impact_factor	impact_factor_5_year	category	jcr_quartile	rank	total_num_of_journals
ZEITSCHRIFT FUR NATURFORSCHUNG SECTION A-A JOURNAL OF PHYSICAL SCIENCES	Z NATURFORSCH A	0932-0784	1865-7109	1.8	1.3	PHYSICS, MULTIDISCIPLINARY	Q2	50	110
ANALYTICAL SCIENCES	ANAL SCI	0910-6340	1348-2246	1.8	1.6	CHEMISTRY, ANALYTICAL	Q3	69	106
CHINESE JOURNAL OF ORGANIC CHEMISTRY	CHINESE J ORG CHEM	0253-2786	0253-2786	1.8	1.3	CHEMISTRY, ORGANIC	Q3	30	58
Critical Care Research and Practice	CRIT CARE RES PRACT	2090-1305	2090-1313	1.8	2.0	CRITICAL CARE MEDICINE	Q3	33	54
ECS Journal of Solid State Science and Technology	ECS J SOLID STATE SC	2162-8769	2162-8777	1.8	2.0	PHYSICS, APPLIED	Q3	120	179
Expert Review of Cardiovascular Therapy	EXPERT REV CARDIOVAS	1477-9072	1744-8344	1.8	2.1	CARDIAC & CARDIOVASCULAR SYSTEMS	Q3	128	220
FOOD SCIENCE AND TECHNOLOGY INTERNATIONAL	FOOD SCI TECHNOL INT	1082-0132	1532-1738	1.8	2.3	FOOD SCIENCE & TECHNOLOGY	Q3	117	173
International Review on Public and Nonprofit Marketing	INT REV PUB NON MARK	1865-1984	1865-1992	1.8	2.2	BUSINESS	Q3	201	302
JOURNAL OF PEPTIDE SCIENCE	J PEPT SCI	1075-2617	1099-1387	1.8	1.8	CHEMISTRY, ANALYTICAL	Q3	69	106
Lubrication Science	LUBR SCI	0954-0075	1557-6833	1.8	1.8	ENGINEERING, MECHANICAL	Q3	99	180
Sexual Health	SEX HEALTH	1448-5028	1449-8987	1.8	2.0	PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH	Q3	239	403
ADVANCED COMPOSITE MATERIALS	ADV COMPOS MATER	0924-3046	1568-5519	1.8	2.0	MATERIALS SCIENCE, COMPOSITES	Q3	25	35
COMPUTATIONAL INTELLIGENCE	COMPUT INTELL-US	0824-7935	1467-8640	1.8	2.1	COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE	Q3	136	197
Cuadernos de Gestion	CUAD GEST	1131-6837	1988-2157	1.8	1.1	MANAGEMENT	Q3	265	401
